Id,Guid,MemberId,FirstName,LastName,FullName,CommitteeId,CommitteeName,MemberTypeId,Title,StartDate,EndDate,Version,Sort,LastUpdatedUTC
3847,0879114D-8CE1-4084-B7F5-F3C36188D1AF,7562,Margaret S.,Chin,Margaret S. Chin,3,Committee on Aging,1,Chairperson,2018-01-11T00:00:00,2021-12-31T00:00:00,AAAAAOV8hOg=,10,2018-01-11T15:10:04.167
3848,D7991589-B5CC-4555-9CC4-55E7B9BD855D,7742,Diana,Ayala,Diana Ayala ,3,Committee on Aging,3,Committee member,2018-01-11T00:00:00,2021-12-31T00:00:00,AAAAAOV8hVU=,20,2018-01-11T15:10:34.153
3849,FB647542-EA29-4A04-88CF-AA9D4C353305,7629,Chaim M.,Deutsch,Chaim M. Deutsch,3,Committee on Aging,3,Committee member,2018-01-11T00:00:00,2021-12-31T00:00:00,AAAAAOV8hVY=,30,2018-01-11T15:11:43.957
3850,6DCA54ED-5EEE-4F6A-B949-41159C1E49CF,7744,Ruben,"Diaz, Sr.","Ruben Diaz, Sr.",3,Committee on Aging,3,Committee member,2018-01-11T00:00:00,2021-12-31T00:00:00,AAAAAOV8hVc=,40,2018-01-11T15:12:40.013
3852,C8A5D85B-0152-445B-B03F-50F9475B72A8,7113,Mathieu,Eugene,Mathieu Eugene,3,Committee on Aging,3,Committee member,2018-01-11T00:00:00,2021-12-31T00:00:00,AAAAAOV8hVk=,60,2018-01-11T15:15:48.28
3853,F3D706EE-D37A-4E22-A0C0-C9AFA1FE8681,7568,Deborah L.,Rose,Deborah L. Rose,3,Committee on Aging,3,Committee member,2018-01-11T00:00:00,2021-12-31T00:00:00,AAAAAOV8hVo=,70,2018-01-11T15:16:37.12
3854,D1F5DAB8-651D-453B-A08A-829ACBAAE96A,7641,Mark,Treyger,Mark Treyger,3,Committee on Aging,3,Committee member,2018-01-11T00:00:00,2021-12-31T00:00:00,AAAAAOV8hXk=,80,2018-01-11T15:17:11.65
3855,D9DE258E-554E-44C9-A54A-A49A7D238C73,7642,Paul A.,Vallone,Paul A. Vallone,3,Committee on Aging,3,Committee member,2018-01-11T00:00:00,2021-12-31T00:00:00,AAAAAOV8hVs=,90,2018-01-11T15:17:50.793
3863,F6B1DA3A-DE29-42A8-8D0C-BF67A139F015,7637,I. Daneek,Miller,I. Daneek Miller,4,Committee on Civil Service and Labor,1,Chairperson,2018-01-11T00:00:00,2021-12-31T00:00:00,AAAAAOV8hTQ=,10,2018-01-11T19:09:24.553
3864,89F8DB14-1AB3-4756-9780-27D6B8BE3056,7739,Adrienne,Adams,Adrienne E. Adams,4,Committee on Civil Service and Labor,3,Committee member,2018-01-11T00:00:00,2021-12-31T00:00:00,AAAAAOV8hT0=,20,2018-01-11T19:10:14.46
